shift,activity,date_time
0,Считыватель КПК D5.05 (вх в 1А),2016-06-07 10:45:33
0,Считыватель КПК D2.13 (вх в БЮ),2016-06-07 11:24:11
0,Считыватель КПК D2.13 (вых в стационар),2016-06-07 11:28:08
0,Считыватель КПК D5.05 (вх в 1А),2016-06-07 12:05:22
0,Считыватель КПК D7.06,2016-06-07 12:07:59
0,Считыватель КПК D5.05 (вх в 1А),2016-06-07 12:30:02
0,Считыватель КПК D5.05 (вх в стационар),2016-06-07 12:31:50
0,Ввод_назначений,2016-06-07 13:59:00
0,Ввод_назначений Отделение_госпитализации,2016-06-07 14:21:00
0,ПЦ_экспр.лаб._Выявление_антиэритроцитарных_антител_непрямая_проба_Кумбса,2016-06-07 14:23:00
0,ПЦ_экспр.лаб._Группа_крови_и_резус-фактор,2016-06-07 14:23:00
0,"Протромбиновый_индекс,_МНО",2016-06-07 14:23:00
0,Анализ_мочи_общий,2016-06-07 14:25:00
0,Считыватель КПК D5.05 (вх в 1А),2016-06-07 15:59:17
0,Считыватель КПК D5.05 (вх в стационар),2016-06-07 16:02:43
0,Клинический_анализ_крови_на_гематологическом_анализаторе_24_параметра,2016-06-08 07:24:00
0,Клинический_анализ_крови_на_гематологическом_анализаторе_24_параметра,2016-06-08 07:24:00
0,Клинический_анализ_крови_на_гематологическом_анализаторе_24_параметра,2016-06-08 07:24:00
0,Клинический_анализ_крови_на_гематологическом_анализаторе_с_морфологическим_изучением_и_подсчетом_лейкоцитарной_формулы,2016-06-08 07:24:00
0,Определение_антигена_НBsAg_Hepaiis_B_virus,2016-06-08 07:24:00
0,"Определение_антител_класса_M,_G_IgM,_IgG_к_Hepaiis_C_virus",2016-06-08 07:24:00
0,Определение_маркеров_ВИЧ_АГ/АТ,2016-06-08 07:24:00
0,Определение_уровня_аланин-трансаминазы_в_крови,2016-06-08 07:24:00
0,Определение_уровня_аланин-трансаминазы_и_аспарат-трансаминазы_в_крови,2016-06-08 07:24:00
0,Определение_уровня_аспарат-трансаминазы_в_крови,2016-06-08 07:24:00
0,Определение_уровня_глюкозы_в_крови,2016-06-08 07:24:00
0,Определение_уровня_калия_в_крови,2016-06-08 07:24:00
0,Определение_уровня_калия_в_крови,2016-06-08 07:24:00
0,Определение_уровня_креатинина_в_крови,2016-06-08 07:24:00
0,Определение_уровня_креатинина_в_крови,2016-06-08 07:24:00
0,Определение_уровня_креатинина_в_крови,2016-06-08 07:24:00
0,Определение_уровня_мочевины_в_крови,2016-06-08 07:24:00
0,Определение_уровня_тиреотропного_гормона_ТТГ,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Выявление_антиэритроцитарных_антител_непрямая_проба_Кумбса,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Выявление_антиэритроцитарных_антител_непрямая_проба_Кумбса,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Выявление_антиэритроцитарных_антител_непрямая_проба_Кумбса,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Выявление_антиэритроцитарных_антител_непрямая_проба_Кумбса,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Группа_крови_и_резус-фактор,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Группа_крови_и_резус-фактор,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Группа_крови_и_резус-фактор,2016-06-08 07:24:00
0,ПЦ_экспр.лаб._Группа_крови_и_резус-фактор,2016-06-08 07:24:00
0,"Протромбиновый_индекс,_МНО",2016-06-08 07:24:00
0,"Протромбиновый_индекс,_МНО",2016-06-08 07:24:00
0,Серология_сифилиса_микрореакциясуммарные_антитела,2016-06-08 07:24:00
0,Типирование_липидов_прямым_методом,2016-06-08 07:24:00
0,Исследование_уровня_тропонина_в_крови,2016-06-08 07:25:00
0,Клинический_анализ_крови_на_гематологическом_анализаторе_24_параметра,2016-06-08 07:25:00
0,Определение_уровня_С-реактивного_белка_в_крови,2016-06-08 07:25:00
0,Определение_уровня_С-реактивного_белка_в_крови,2016-06-08 07:25:00
0,Определение_уровня_С-реактивного_белка_в_крови,2016-06-08 07:25:00
0,"Протромбиновый_индекс,_МНО",2016-06-08 07:25:00
0,"Протромбиновый_индекс,_МНО",2016-06-08 07:25:00
0,"Протромбиновый_индекс,_МНО",2016-06-08 07:25:00
0,Анализ_мочи_общий,2016-06-08 07:26:00
0,Анализ_мочи_общий,2016-06-08 07:26:00
0,Бактериологическое_исследование_мокроты,2016-06-08 07:28:00
0,Общий_анализ_мокроты,2016-06-08 07:28:00
1,КПП-2.04 Выход через турн.3,2016-06-10 08:38:43
1,Считыватель КПК D5.02,2016-06-10 10:11:43
1,Считыватель КПК D1.41,2016-06-10 11:02:10
1,Считыватель КПК D1.11,2016-06-10 11:02:20
1,Считыватель КПК D5.08,2016-06-10 11:03:34
1,Считыватель КПК D7.06,2016-06-10 11:04:46
1,Считыватель КПК D5.05 (вх в 1А),2016-06-10 12:17:59
1,Считыватель КПК D5.02,2016-06-10 12:57:32
1,Считыватель КПК D7.06,2016-06-10 13:01:43
1,Считыватель КПК D0.01,2016-06-10 13:34:29
1,Считыватель КПК D5.02,2016-06-10 13:39:49
1,Считыватель КПК D2.13 (вх в БЮ),2016-06-10 14:04:08
1,Считыватель КПК D2.13 (вых в стационар),2016-06-10 14:05:30
1,Ввод_назначений,2016-06-10 16:03:00
1,Ввод_назначений Отделение_госпитализации,2016-06-10 16:20:00
1,Ввод_назначений Отделение_госпитализации,2016-06-10 16:30:00
1,Считыватель КПК D5.05 (вх в стационар),2016-06-10 16:41:19
1,Ввод_назначений Отделение_госпитализации,2016-06-10 17:15:00
1,Перевод_внутрибольничный,2016-06-10 17:19:00
1,Считыватель КПК D5.05 (вх в 1А),2016-06-10 17:28:57
1,Ввод_назначений Отделение_госпитализации,2016-06-10 17:36:00
1,Лифт №6 Счит.Двери 1,2016-06-10 17:37:45
1,Лифт №6 Счит.Двери 1,2016-06-10 17:37:48
1,Лифт №6 Счит.Двери 1,2016-06-10 17:46:13
1,Считыватель КПК D3.03 (вых) ESMI,2016-06-10 17:49:51
1,Ввод_назначений Отделение_госпитализации,2016-06-10 17:51:00
1,Ввод_назначений Отделение_госпитализации,2016-06-10 17:52:00
1,Ввод_назначений,2016-06-10 18:15:00
1,ЭКСПРЕСС_4эт_-_Анализ_мочи_общий,2016-06-11 08:12:00
1,ЭКСПРЕСС_4эт_-_Группа_крови_и_резус-фактор,2016-06-11 08:12:00
1,ЭКСПРЕСС_4эт_-_Исследование_уровня_С-реактивного_белка_в_крови,2016-06-11 08:12:00
1,ЭКСПРЕСС_4эт_-_Исследование_уровня_калия_в_крови,2016-06-11 08:12:00
1,ЭКСПРЕСС_4эт_-_Исследование_уровня_мочевины_в_крови,2016-06-11 08:12:00
1,ЭКСПРЕСС_4эт_-_Общий_клинический_анализ_крови_с_лейкоцитарной_формулой,2016-06-11 08:12:00
1,ЭКСПРЕСС_4эт_-_Определение_уровня_креатинина_в_крови,2016-06-11 08:12:00
1,Считыватель КПК D4.07,2016-06-11 08:16:27
1,Считыватель КПК D4.10/1,2016-06-11 08:16:37
2,КПП-2.04 Выход через турн.3,2016-06-12 08:37:05
2,Считыватель КПК D1.10,2016-06-12 08:38:23
2,Ввод_назначений Пребывание_в_стационаре,2016-06-12 10:04:00
2,Ввод_назначений Пребывание_в_стационаре,2016-06-12 10:04:00
2,Ввод_назначений Пребывание_в_стационаре,2016-06-12 10:04:00
2,Ввод_назначений Пребывание_в_стационаре,2016-06-12 10:05:00
2,Считыватель КПК D5.02,2016-06-12 11:20:08
2,Считыватель КПК D5.02,2016-06-12 12:35:25
2,Считыватель КПК D5.02,2016-06-12 12:44:44
2,Считыватель КПК D5.02,2016-06-12 15:41:42
2,Считыватель КПК D1.41,2016-06-12 16:48:39
2,Считыватель КПК D1.10,2016-06-12 16:48:47
2,ЭКСПРЕСС_4эт_-_Анализ_мочи_общий,2016-06-13 07:52:00
2,ЭКСПРЕСС_4эт_-_Анализ_мочи_общий,2016-06-13 07:52:00
2,ЭКСПРЕСС_4эт_-_Анализ_мочи_общий,2016-06-13 07:52:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_аланин-трансаминазы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_аланин-трансаминазы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_аспарат-трансаминазы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_аспарат-трансаминазы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_глюкозы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_глюкозы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_глюкозы_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_калия_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_калия_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_калия_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_мочевины_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_мочевины_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_натрия_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_натрия_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_общего_билирубина_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Исследование_уровня_общего_билирубина_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Общий_клинический_анализ_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Общий_клинический_анализ_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Общий_клинический_анализ_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Определение_уровня_креатинина_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Определение_уровня_креатинина_в_крови,2016-06-13 08:02:00
2,ЭКСПРЕСС_4эт_-_Определение_уровня_креатинина_в_крови,2016-06-13 08:02:00
2,"ЭКСПРЕСС_4эт_-_Протромбиновый_индекс,_МНО",2016-06-13 08:02:00
2,"ЭКСПРЕСС_4эт_-_Протромбиновый_индекс,_МНО",2016-06-13 08:02:00
2,"ЭКСПРЕСС_4эт_-_Протромбиновый_индекс,_МНО",2016-06-13 08:02:00
3,КПП-2.04 Выход через турн.3,2016-06-15 08:45:03
3,Считыватель КПК D5.02,2016-06-15 12:58:46
3,Считыватель КПК D5.02,2016-06-15 13:24:06
3,Считыватель КПК D5.05 (вх в 1А),2016-06-15 13:30:32
3,Считыватель КПК D5.05 (вх в стационар),2016-06-15 13:32:28
3,Лифт 7 Дверь 1 Счит.,2016-06-15 15:34:47
3,Считыватель КПК D5.05 (вх в 1А),2016-06-15 16:32:46
3,Считыватель КПК D7.06,2016-06-15 18:23:44
3,Клинический_анализ_крови_на_гематологическом_анализаторе_24_параметра,2016-06-16 07:16:00
3,Клинический_анализ_крови_на_гематологическом_анализаторе_с_морфологическим_изучением_и_подсчетом_лейкоцитарной_формулы,2016-06-16 07:16:00
3,Определение_антигена_НBsAg_Hepaiis_B_virus,2016-06-16 07:16:00
3,Определение_антигена_НBsAg_Hepaiis_B_virus,2016-06-16 07:16:00
3,"Определение_антител_класса_M,_G_IgM,_IgG_к_Hepaiis_C_virus",2016-06-16 07:16:00
3,"Определение_антител_класса_M,_G_IgM,_IgG_к_Hepaiis_C_virus",2016-06-16 07:16:00
3,Определение_маркеров_ВИЧ_АГ/АТ,2016-06-16 07:16:00
3,Определение_маркеров_ВИЧ_АГ/АТ,2016-06-16 07:16:00
3,Определение_уровня_С-реактивного_белка_в_крови,2016-06-16 07:16:00
3,Определение_уровня_аланин-трансаминазы_в_крови,2016-06-16 07:16:00
3,Определение_уровня_аланин-трансаминазы_и_аспарат-трансаминазы_в_крови,2016-06-16 07:16:00
3,Определение_уровня_аспарат-трансаминазы_в_крови,2016-06-16 07:16:00
3,Определение_уровня_билирубина_и_его_фракций_в_крови,2016-06-16 07:16:00
3,Определение_уровня_билирубина_и_его_фракций_в_крови,2016-06-16 07:16:00
